team,season,G,PA,AB,H,RBI,SB,2B,3B,HR,TB,HBP,SF,R,K,BB,IBB,1B,SLG,OBP,OPS,AVG,BABIP,pRunMult,pRunMinDen,pRunPlusDen,wOBA
AGS,2024,963,3506,3105,980,493,56,164,10,90,1434,38,30,537,524,308,6,716,0.462,0.381,0.843,0.316,0.353,750.3829705994654,2155,1320,0.374
CAM,2024,919,3130,2799,711,340,36,128,5,83,1098,41,20,376,641,244,7,495,0.392,0.321,0.7130000000000001,0.254,0.3,572.9761149293623,2108,989,0.318
CHI,2024,1003,3569,3232,920,386,49,183,19,52,1297,47,18,428,669,241,6,666,0.401,0.341,0.742,0.285,0.343,676.8225741377115,2330,1202,0.332
DUR,2024,1018,3620,3155,869,444,60,148,24,70,1275,44,27,467,756,379,7,627,0.404,0.358,0.762,0.275,0.339,706.3569587628866,2313,1285,0.345
JAL,2024,1003,3579,3106,868,461,123,185,16,106,1403,51,27,494,690,374,11,561,0.452,0.363,0.815,0.279,0.326,744.0843279877816,2265,1282,0.361
LAG,2024,1004,3526,3009,847,475,67,177,22,88,1332,66,33,518,696,377,11,560,0.443,0.37,0.813,0.281,0.336,725.0653398243603,2195,1279,0.36
LAR,2024,1100,3625,3148,907,485,63,175,20,77,1353,37,36,523,625,381,9,635,0.43,0.368,0.798,0.288,0.334,735.0085777014126,2277,1316,0.357
LEO,2024,971,3513,3098,876,448,58,177,16,89,1352,49,27,487,728,306,16,594,0.436,0.354,0.79,0.283,0.341,704.2059551991854,2249,1215,0.348
MEX,2024,922,3721,3209,1021,611,47,216,9,116,1603,37,28,655,680,424,23,680,0.5,0.401,0.901,0.318,0.371,843.6705931016927,2216,1459,0.394
MTY,2024,1002,3574,3144,937,494,50,204,16,102,1479,41,25,529,606,328,15,615,0.47,0.369,0.839,0.298,0.339,759.8002049128165,2232,1291,0.367
MVA,2024,962,3616,3161,922,489,101,178,13,102,1432,49,31,527,672,335,17,629,0.453,0.365,0.8180000000000001,0.292,0.339,747.4650700012726,2270,1289,0.359
OAX,2024,969,3642,3214,960,534,50,176,12,142,1586,42,16,568,689,335,10,630,0.493,0.371,0.864,0.299,0.341,801.1099350897289,2270,1327,0.376
PUE,2024,1013,3306,2863,797,459,39,150,10,123,1336,44,28,491,635,342,9,514,0.467,0.361,0.8280000000000001,0.278,0.316,696.3908960162912,2094,1174,0.362
QRO,2024,892,3548,3092,961,590,41,185,9,127,1545,48,32,622,612,362,14,640,0.5,0.388,0.888,0.311,0.35,799.4829705994655,2163,1357,0.389
SLT,2024,961,3607,3177,932,469,51,174,10,77,1357,77,32,508,608,279,11,671,0.427,0.361,0.788,0.293,0.339,720.2309469263076,2277,1277,0.35
TAB,2024,1010,3534,3116,840,401,65,155,13,85,1276,38,18,437,621,324,11,587,0.409,0.344,0.7529999999999999,0.27,0.311,678.059606083747,2294,1191,0.335
TIG,2024,958,3293,2936,701,308,89,117,13,70,1054,42,13,335,721,271,9,501,0.359,0.311,0.6699999999999999,0.239,0.292,566.6780711467482,2248,1005,0.302
TIJ,2024,946,3648,3169,864,469,73,164,12,112,1388,48,25,505,745,387,14,576,0.438,0.358,0.796,0.273,0.322,741.2291256204658,2330,1285,0.353
VER,2024,955,3463,3005,812,401,87,149,10,81,1224,61,31,434,630,328,14,572,0.407,0.351,0.758,0.27,0.314,665.8046060837469,2224,1187,0.338
YUC,2024,929,3353,2919,808,440,27,143,9,105,1284,30,24,462,618,359,8,551,0.44,0.359,0.7989999999999999,0.277,0.317,684.2181220567646,2135,1189,0.355
